HOLE:	M0065A
EXPEDITION:	347
TOP:	0
BOTTOM:	43.475
DEPTH_WSF    	SMTU       
m	lb
18.15	361.2288
18.175	360.2275
18.2	360.0212
18.225	359.0125
18.25	357.3463
18.275	360.3012
18.3	378.3912
18.325	380.4175
18.35	382.0738
18.375	383.4213
18.4	384.5413
18.425	385.8588
18.45	387.1888
18.475	387.8438
18.5	389.6162
18.525	391.16
18.55	392.8087
18.575	393.9037
18.6	395.8213
18.625	398.1412
18.65	399.29
18.675	400.3225
18.7	401.2825
18.725	402.1462
18.75	402.4813
18.775	402.4987
18.8	403.365
18.825	403.4213
18.85	403.575
18.875	403.8087
18.9	403.47
18.925	403.4438
18.95	403.935
18.975	404.3188
19	404.85
19.025	405.2575
19.05	405.5063
19.075	405.5063
19.1	406.2725
19.125	405.5125
19.15	405.5125
19.175	405.305
19.2	406.255
19.225	406.2662
19.25	406.2762
19.275	406.2938
19.3	406.2938
19.325	405.2687
19.35	405.2513
19.375	405.7125
19.4	406.26
19.425	406.765
19.45	407.1787
19.475	406.2687
19.5	406.2575
19.525	406.2588
19.55	406.2762
19.575	406.2712
19.6	407.3937
19.625	406.8625
19.65	406.26
19.675	406.2775
19.7	406.26
19.725	406.2675
19.75	406.2575
19.775	405.2737
19.8	404.48
19.825	403.8025
19.85	403.4325
19.875	402.2225
19.9	400.1313
19.925	398.42
19.95	397.735
19.975	396.6888
20	395.4513
20.025	395.4513
20.05	392.1825
20.075	390.7225
20.1	389.0212
20.125	388.255
20.15	387.5038
20.175	386.63
20.2	386.3225
20.225	386.6275
20.25	387.2975
20.275	388.27
20.3	389.3525
20.325	390.1325
20.35	390.2675
20.375	392.0713
20.4	393.055
20.425	393.0663
20.45	393.2925
20.475	411.58
20.5	396.17
20.525	384.9337
20.55	385.135
20.575	385.115
20.6	384.765
20.625	384.3475
20.65	384.1725
20.675	384.2075
20.7	384.1925
20.725	384.195
20.75	384.1938
20.775	383.735
20.8	383.235
20.825	383.2288
20.85	383.2263
20.875	383.5825
20.9	383.6162
20.925	384.185
20.95	384.1837
20.975	384.4125
21	385.1038
21.025	385.1038
21.05	385.0875
21.075	386.0013
21.1	386.3175
21.125	386.9962
21.15	387.2662
21.175	388.0487
21.2	388.455
21.225	389.1938
21.25	389.3737
21.275	391.3112
21.3	392.62
21.325	393.3087
21.35	393.3087
21.375	395.32
21.4	396.1963
21.425	396.3112
21.45	397.3888
21.475	398.2938
21.5	398.4037
21.525	398.4337
21.55	399.6525
21.575	400.3
21.6	401.0425
21.625	401.2375
21.65	402.4813
21.675	403.5625
21.7	404.2987
21.725	404.2712
21.75	395.3838
21.775	383.595
21.8	382.44
21.825	382.44
21.85	379.685
21.875	378.9725
21.9	377.315
21.925	376.2813
21.95	375.32
21.975	374.0975
22	374.1212
22.025	374.12
22.05	374.12
22.075	374.0938
22.1	374.0975
22.125	374.1088
22.15	374.13
22.175	373.8125
22.2	373.5763
22.225	373.205
22.25	374.0463
22.275	374.1063
22.3	374.1137
22.325	374.0912
22.35	374.0925
22.375	374.4388
22.4	375.065
22.425	375.0675
22.45	375.0562
22.475	376.075
22.5	376.3037
22.525	377.0912
22.55	377.4275
22.575	378.2188
22.6	379.1913
22.625	380.0025
22.65	381.435
22.675	382.2238
22.7	382.2225
22.725	382.98
22.75	382.595
22.775	382.2025
22.8	382.2025
22.825	384.1237
22.85	385.37
22.875	386.3125
22.9	386.3
22.925	387.3125
22.95	387.3037
22.975	387.6787
23	388.2775
23.025	388.245
23.05	387.86
23.075	388.2737
23.1	388.2737
23.125	387.8838
23.15	387.2775
23.175	387.3687
23.2	387.9012
23.225	387.8412
23.25	387.2925
23.275	387.3
23.3	387.2963
23.325	387.2938
23.35	387.0887
23.375	386.295
23.4	385.875
23.425	385.105
23.45	385.0938
23.475	385.1025
23.5	385.3588
23.525	387.1713
23.55	387.1713
23.575	389.005
23.6	389.1462
23.625	391.5725
23.65	392.8525
23.675	394.435
23.7	395.3525
23.725	397.8025
23.75	398.3962
23.775	399.2213
23.8	400.1187
23.825	402.2188
23.85	403.6125
23.875	404.3312
23.9	405.2313
23.925	405.9575
23.95	407.5988
23.975	408.7275
24	409.265
24.025	411.62
24.05	413.1613
24.075	414.395
24.1	415.5038
24.125	416.645
24.15	418.2725
24.175	419.3662
24.2	419.375
24.225	419.39
24.25	419.3675
24.275	419.3588
24.3	420.2762
24.325	420.3263
24.35	420.3112
24.375	419.9788
24.4	419.1288
24.425	418.125
24.45	417.4713
24.475	416.5862
24.5	417.42
24.525	417.475
24.55	418.0113
24.575	419.1075
24.6	420.7288
24.625	421.06
24.65	420.8213
24.675	420.33
24.7	420.4575
24.725	421.3475
24.75	422.4562
24.775	423.165
24.8	423.9912
24.825	425.6325
24.85	427.7513
24.875	428.9262
24.9	431.0013
24.925	431.7875
24.95	432.5938
24.975	433.8513
25	435.035
25.025	436.535
25.05	437.6263
25.075	437.6263
25.1	438.4312
25.125	438.2625
25.15	437.6525
25.175	438.5925
25.2	437.6125
25.225	438.5887
25.25	437.4912
25.275	436.7112
25.3	435.8513
25.325	435.4525
25.35	434.58
25.375	434.365
25.4	433.345
25.425	451.6787
25.45	455.285
25.475	456.5287
25.5	458.455
25.525	460.51
25.55	461.6862
25.575	463.195
25.6	464.155
25.625	465.4
25.65	465.7362
25.675	466.535
25.7	467.6388
25.725	468.96
25.75	470.7238
25.775	471.5562
25.8	471.5875
25.825	470.765
25.85	470.5487
25.875	470.5512
25.9	471.0388
25.925	470.5125
25.95	469.5988
25.975	468.955
26	468.1112
26.025	467.6512
26.05	450.265
26.075	441.6388
26.1	439.8612
26.125	438.1063
26.15	436.6837
26.175	435.4725
26.2	433.5187
26.225	432.4
26.25	432.4012
26.275	432.415
26.3	424.0038
26.325	409.7725
26.35	408.2963
26.375	407.4188
26.4	404.9675
26.425	403.8662
26.45	403.1462
26.475	403.1462
26.5	401.29
26.525	401.285
26.55	400.9738
26.575	400.3225
26.6	400.3213
26.625	400.32
26.65	400.3175
26.675	401.2412
26.7	401.285
26.725	401.2825
26.75	401.7362
26.775	402.6187
26.8	403.43
