HOLE:	M0065A		
EXPEDITION:	347		
TOP:	14.825		
BOTTOM:	40.9		
DEPTH_WSF 	RILD       	RILM       	VEC0       
m	ohmm	ohmm	ohmm
20.8	2.6575	2.6198	2.5769
20.825	2.6678	2.6296	2.5857
20.85	2.6791	2.641	2.5969
20.875	2.6912	2.6507	2.6069
20.9	2.7033	2.6597	2.6167
20.925	2.7174	2.671	2.6263
20.95	2.7292	2.6824	2.6354
20.975	2.7446	2.693	2.6416
21	2.7606	2.7049	2.6478
21.025	2.7776	2.722	2.659
21.05	2.7908	2.7322	2.6657
21.075	2.8052	2.7412	2.6706
21.1	2.8153	2.751	2.6761
21.125	2.8238	2.7594	2.6817
21.15	2.8319	2.7652	2.687
21.175	2.8466	2.7773	2.6964
21.2	2.8564	2.7883	2.7089
21.225	2.8674	2.7984	2.7188
21.25	2.8774	2.8071	2.7293
21.275	2.8894	2.8156	2.7363
21.3	2.8984	2.8222	2.7423
21.325	2.9164	2.8389	2.7551
21.35	2.9334	2.8552	2.7703
21.375	2.954	2.8707	2.7822
21.4	2.9722	2.8854	2.7948
21.425	2.9866	2.8994	2.8077
21.45	2.9982	2.9082	2.8173
21.475	3.0186	2.9219	2.8264
21.5	3.0319	2.9337	2.8375
21.525	3.0497	2.9527	2.8556
21.55	3.0676	2.9678	2.8685
21.575	3.0832	2.98	2.8772
21.6	3.0892	2.9861	2.8875
21.625	3.1006	2.9969	2.8984
21.65	3.1109	3.0049	2.9092
21.675	3.1216	3.0122	2.9195
21.7	3.1321	3.0199	2.9275
21.725	3.1415	3.0284	2.9345
21.75	3.1442	3.0273	2.9367
21.775	3.1496	3.0253	2.9304
21.8	3.1577	3.0275	2.9284
21.825	3.1623	3.0288	2.9299
21.85	3.1614	3.0229	2.9251
21.875	3.1661	3.0225	2.9208
21.9	3.1653	3.0178	2.9184
21.925	3.1582	3.0122	2.9143
21.95	3.1558	3.0059	2.9073
21.975	3.1578	3.0022	2.9022
22	3.161	3.0029	2.9015
22.025	3.1622	3.0036	2.8993
22.05	3.1686	3.0057	2.9023
22.075	3.1722	3.0055	2.9003
22.1	3.1784	3.0101	2.8968
22.125	3.1852	3.0121	2.8966
22.15	3.1925	3.0128	2.8989
22.175	3.2	3.014	2.8949
22.2	3.2151	3.0217	2.8969
22.225	3.2225	3.0279	2.904
22.25	3.229	3.0327	2.9062
22.275	3.2362	3.0391	2.9072
22.3	3.2475	3.0497	2.9146
22.325	3.2486	3.0565	2.9206
22.35	3.258	3.0655	2.9244
22.375	3.2704	3.0786	2.9306
22.4	3.2824	3.0974	2.9377
22.425	3.2898	3.1116	2.948
22.45	3.2971	3.1256	2.9604
22.475	3.308	3.1436	2.9736
22.5	3.3204	3.163	2.9875
22.525	3.329	3.1796	3.0058
22.55	3.3331	3.1937	3.0176
22.575	3.3469	3.2207	3.0402
22.6	3.358	3.2443	3.0626
22.625	3.3595	3.2628	3.0869
22.65	3.3649	3.2809	3.1072
22.675	3.3731	3.2989	3.1254
22.7	3.3792	3.3135	3.1386
22.725	3.3824	3.3301	3.1596
22.75	3.3864	3.3413	3.1726
22.775	3.3919	3.3533	3.1823
22.8	3.3953	3.3619	3.1884
22.825	3.386	3.3562	3.1878
22.85	3.3754	3.3439	3.178
22.875	3.3653	3.3339	3.1666
22.9	3.3564	3.3271	3.1593
22.925	3.3435	3.3181	3.1531
22.95	3.3372	3.3118	3.1451
22.975	3.3307	3.306	3.1435
23	3.3204	3.2962	3.1387
23.025	3.3058	3.2807	3.1319
23.05	3.2965	3.2679	3.1252
23.075	3.2925	3.2584	3.117
23.1	3.2873	3.2468	3.1001
23.125	3.2806	3.2344	3.0897
23.15	3.2771	3.2192	3.0722
23.175	3.2779	3.2113	3.0617
23.2	3.2675	3.1969	3.0445
23.225	3.2561	3.1834	3.0298
23.25	3.2519	3.175	3.0125
23.275	3.2413	3.1637	3.0004
23.3	3.2294	3.1525	2.9922
23.325	3.2206	3.1432	2.989
23.35	3.2138	3.1349	2.9859
23.375	3.2049	3.1311	2.9874
23.4	3.2026	3.1333	2.9896
23.425	3.2032	3.1372	2.9948
23.45	3.2091	3.1465	3.0051
23.475	3.2244	3.164	3.0196
23.5	3.242	3.1791	3.0341
23.525	3.2627	3.1998	3.0527
23.55	3.2907	3.2256	3.0692
23.575	3.3249	3.2584	3.0959
23.6	3.353	3.287	3.1224
23.625	3.3871	3.3244	3.1573
23.65	3.4195	3.3536	3.1871
23.675	3.4394	3.3724	3.2103
23.7	3.4651	3.3958	3.2368
23.725	3.488	3.4174	3.2622
23.75	3.5117	3.4397	3.287
23.775	3.5325	3.4617	3.3083
23.8	3.5555	3.4845	3.331
23.825	3.5681	3.4973	3.3413
23.85	3.5838	3.5108	3.3487
23.875	3.5984	3.5211	3.3517
23.9	3.6158	3.537	3.3601
23.925	3.6364	3.5524	3.3665
23.95	3.6534	3.5621	3.3702
23.975	3.6708	3.5711	3.3757
24	3.6755	3.5655	3.3709
24.025	3.6775	3.5582	3.3703
24.05	3.681	3.5522	3.3662
24.075	3.6902	3.5497	3.3641
24.1	3.6999	3.5506	3.3642
24.125	3.7065	3.5526	3.3662
24.15	3.7139	3.5529	3.3655
24.175	3.7188	3.5516	3.3645
24.2	3.7175	3.5489	3.3601
24.225	3.7226	3.5468	3.3563
24.25	3.7386	3.5525	3.3562
24.275	3.7552	3.5629	3.3576
24.3	3.7685	3.5686	3.3604
24.325	3.7801	3.5726	3.3668
24.35	3.7839	3.5705	3.3711
24.375	3.7898	3.5672	3.3721
24.4	3.7971	3.5646	3.3737
24.425	3.8022	3.5691	3.3813
24.45	3.8135	3.5753	3.392
24.475	3.8332	3.5894	3.4052
24.5	3.8475	3.6054	3.4261
24.525	3.8585	3.6207	3.4462
24.55	3.8705	3.6295	3.4593
24.575	3.8833	3.6427	3.4724
24.6	3.8912	3.6534	3.4832
24.625	3.9029	3.666	3.4965
24.65	3.914	3.6756	3.5083
24.675	3.9256	3.6894	3.5211
24.7	3.9323	3.6992	3.5313
24.725	3.9319	3.7048	3.5435
24.75	3.9324	3.7124	3.5559
24.775	3.9448	3.7271	3.5675
24.8	3.9593	3.7468	3.5859
24.825	3.9668	3.7635	3.601
24.85	3.9785	3.7789	3.6144
24.875	3.9923	3.794	3.6256
24.9	4.0005	3.8065	3.6382
24.925	4.0045	3.8098	3.6477
24.95	4.0124	3.8152	3.6536
24.975	4.02	3.8198	3.6532
25	4.0196	3.8187	3.6519
25.025	4.013	3.8093	3.6489
25.05	4.0197	3.8131	3.6504
25.075	4.0313	3.8194	3.6533
25.1	4.0367	3.824	3.6575
25.125	4.0444	3.8274	3.658
25.15	4.0492	3.831	3.6625
25.175	4.0577	3.8369	3.6645
25.2	4.0626	3.8391	3.6641
25.225	4.0672	3.8405	3.6672
25.25	4.0723	3.8407	3.6652
25.275	4.0899	3.8493	3.6637
25.3	4.095	3.8512	3.6646
25.325	4.0929	3.8451	3.6612
25.35	4.0982	3.846	3.6559
25.375	4.1036	3.852	3.6554
25.4	4.1003	3.8517	3.6548
25.425	4.098	3.8498	3.6518
25.45	4.1111	3.8645	3.6658
25.475	4.1159	3.875	3.6739
25.5	4.125	3.8857	3.6847
25.525	4.1278	3.8895	3.6915
25.55	4.1277	3.8918	3.6977
25.575	4.134	3.899	3.7032
25.6	4.1403	3.9054	3.7106
25.625	4.1388	3.9052	3.7094
25.65	4.1469	3.9188	3.7143
25.675	4.163	3.9377	3.7228
25.7	4.1566	3.9365	3.724
25.725	4.1615	3.9511	3.7397
25.75	4.1639	3.9629	3.753
25.775	4.1625	3.9692	3.7606
25.8	4.1578	3.9761	3.7681
25.825	4.1618	3.9918	3.7783
25.85	4.1623	3.9975	3.7827
25.875	4.18	4.022	3.8025
25.9	4.198	4.0484	3.8277
25.925	4.2091	4.0643	3.8479
25.95	4.2209	4.0824	3.8676
25.975	4.237	4.1031	3.8874
26	4.242	4.1114	3.9021
26.025	4.2487	4.1216	3.9099
26.05	4.2456	4.124	3.9089
26.075	4.2454	4.1248	3.9105
26.1	4.2427	4.1278	3.9145
26.125	4.2283	4.1261	3.9169
26.15	4.2167	4.1188	3.917
26.175	4.2077	4.1129	3.9121
26.2	4.191	4.1017	3.906
26.225	4.1731	4.083	3.892
26.25	4.1667	4.0744	3.883
26.275	4.1578	4.0669	3.8726
26.3	4.1529	4.0621	3.869
26.325	4.1579	4.0656	3.8685
26.35	4.1582	4.0678	3.8728
26.375	4.156	4.0653	3.8756
26.4	4.1487	4.0542	3.8698
26.425	4.1479	4.0514	3.8681
26.45	4.1491	4.0477	3.8624
26.475	4.1549	4.0493	3.858
26.5	4.1684	4.0531	3.8538
26.525	4.184	4.068	3.8697
26.55	4.1952	4.0795	3.8816
26.575	4.2052	4.0869	3.8889
26.6	4.2167	4.096	3.9015
26.625	4.2325	4.1113	3.9144
26.65	4.2431	4.1246	3.9231
26.675	4.2674	4.1494	3.9452
26.7	4.2864	4.169	3.9599
26.725	4.3062	4.1919	3.9711
26.75	4.3247	4.2133	3.9904
26.775	4.3551	4.2443	4.0178
26.8	4.3813	4.2718	4.036
26.825	4.3959	4.2982	4.0683
26.85	4.4152	4.3238	4.0977
26.875	4.4281	4.3443	4.119
26.9	4.4556	4.3731	4.1439
26.925	4.4745	4.3978	4.1727
26.95	4.5079	4.4428	4.2153
26.975	4.5412	4.4836	4.2572
27	4.5792	4.5318	4.3054
27.025	4.6147	4.5802	4.3491
27.05	4.6505	4.624	4.3927
27.075	4.6894	4.6608	4.4201
27.1	4.7251	4.699	4.4425
27.125	4.7591	4.733	4.471
27.15	4.7762	4.7522	4.4928
27.175	4.8073	4.7835	4.5108
27.2	4.8359	4.8094	4.5248
27.225	4.8553	4.8302	4.5475
27.25	4.8662	4.8428	4.5522
27.275	4.8881	4.8664	4.5688
27.3	4.8986	4.8811	4.5855
27.325	4.9057	4.9003	4.6053
27.35	4.9078	4.9076	4.6123
27.375	4.906	4.9083	4.6178
27.4	4.9005	4.9061	4.6222
27.425	4.8855	4.896	4.6227
27.45	4.872	4.8836	4.6235
27.475	4.8645	4.8745	4.6173
27.5	4.8579	4.8631	4.6047
27.525	4.8458	4.8449	4.5967
27.55	4.8388	4.8329	4.5977
27.575	4.8294	4.8126	4.5883
27.6	4.8296	4.8052	4.5955
27.625	4.82	4.7953	4.5941
27.65	4.8049	4.7746	4.575
27.675	4.7952	4.7594	4.5568
27.7	4.7892	4.7496	4.5527
27.725	4.7846	4.7504	4.5606
27.75	4.7848	4.7459	4.5641
27.775	4.7929	4.7458	4.5639
27.8	4.8006	4.7493	4.5676
27.825	4.8115	4.7504	4.5662
27.85	4.8207	4.7519	4.5703
27.875	4.852	4.7741	4.5885
27.9	4.8703	4.789	4.596
27.925	4.8841	4.8008	4.6042
27.95	4.896	4.8152	4.6203
27.975	4.906	4.8178	4.6165
28	4.9097	4.8275	4.6346
28.025	4.9143	4.8404	4.6578
28.05	4.9266	4.8555	4.6773
28.075	4.9306	4.8583	4.6777
28.1	4.9222	4.8598	4.6846
28.125	4.9051	4.845	4.6755
28.15	4.8973	4.835	4.6699
28.175	4.9057	4.8403	4.6693
28.2	4.9075	4.8586	4.6836
28.225	4.9192	4.8718	4.6889
28.25	4.9306	4.8959	4.7064
28.275	4.9486	4.9213	4.7212
28.3	4.9587	4.9426	4.7437
28.325	4.9762	4.9643	4.7661
28.35	4.9968	4.9966	4.7983
28.375	5.0392	5.0442	4.8401
28.4	5.0913	5.109	4.9071
28.425	5.1332	5.1607	4.9653
28.45	5.1893	5.2201	5.0296
28.475	5.2385	5.2584	5.0639
28.5	5.2686	5.291	5.0972
28.525	5.2948	5.3099	5.122
28.55	5.3173	5.3296	5.1381
28.575	5.3376	5.3532	5.153
28.6	5.3474	5.3767	5.1766
28.625	5.3607	5.3884	5.184
28.65	5.3717	5.401	5.1952
28.675	5.3757	5.3964	5.198
28.7	5.3671	5.392	5.203
28.725	5.3698	5.3933	5.2161
28.75	5.3566	5.3801	5.2194
28.775	5.3406	5.3658	5.2164
28.8	5.3213	5.3519	5.2125
28.825	5.3008	5.3268	5.199
28.85	5.2862	5.3084	5.1795
28.875	5.2923	5.3052	5.1656
28.9	5.2848	5.2949	5.1442
28.925	5.2814	5.2953	5.133
28.95	5.2984	5.302	5.1338
28.975	5.3057	5.2975	5.1313
