HOLE:	M0065A
EXPEDITION:	347
TOP:	0
BOTTOM:	38.65
DEPTH_WSF	GRGC       
m	gAPI
24.975	106.0821
25	105.1538
25.025	107.7921
25.05	115.564
25.075	124.8143
25.1	132.6518
25.125	136.8209
25.15	137.5028
25.175	132.5436
25.2	127.0403
25.225	121.586
25.25	117.2415
25.275	111.976
25.3	110.3295
25.325	111.2515
25.35	112.9627
25.375	115.5923
25.4	119.2967
25.425	122.297
25.45	123.7582
25.475	124.8262
25.5	126.5434
25.525	126.0217
25.55	123.9922
25.575	120.27
25.6	117.2457
25.625	114.6773
25.65	113.0035
25.675	113.1923
25.7	113.3626
25.725	115.74
25.75	115.0147
25.775	113.5092
25.8	113.4088
25.825	115.7581
25.85	118.7251
25.875	117.9998
25.9	117.833
25.925	113.5465
25.95	109.9387
25.975	102.7992
26	101.3578
26.025	101.8665
26.05	107.0638
26.075	110.4829
26.1	111.9774
26.125	112.3121
26.15	112.3218
26.175	110.5316
26.2	106.1427
26.225	102.9813
26.25	99.1549
26.275	96.8734
26.3	93.3542
26.325	92.6522
26.35	92.2999
26.375	93.3563
26.4	93.3563
26.425	93.711
26.45	94.3532
26.475	96.2232
26.5	97.2127
26.525	96.5846
26.55	96.4871
26.575	95.4496
26.6	93.4524
26.625	92.1574
26.65	94.3514
26.675	100.0672
26.7	105.669
26.725	111.3636
26.75	114.1571
26.775	115.4756
26.8	111.8659
26.825	106.842
26.85	101.2963
26.875	98.4758
26.9	96.1146
26.925	93.9295
26.95	93.0398
26.975	93.6475
27	95.4909
27.025	96.4806
27.05	98.6808
27.075	104.047
27.1	110.0113
27.125	114.4799
27.15	114.6358
27.175	111.1154
27.2	104.5228
27.225	95.8561
27.25	89.2799
27.275	85.6944
27.3	88.3211
27.325	92.865
27.35	96.8377
27.375	96.3404
27.4	94.9929
27.425	92.8896
27.45	89.6587
27.475	88.0163
27.5	92.1861
27.525	97.4665
27.55	100.729
27.575	100.8209
27.6	99.3277
27.625	95.1905
27.65	92.6156
27.675	93.8232
27.7	97.8488
27.725	101.7235
27.75	104.2955
27.775	104.9554
27.8	102.0928
27.825	97.715
27.85	97.0105
27.875	99.5505
27.9	102.0945
27.925	102.8772
27.95	101.298
27.975	98.9109
28	93.349
28.025	90.4231
28.05	89.5318
28.075	93.2222
28.1	95.0787
28.125	99.2018
28.15	101.2135
28.175	105.0652
28.2	107.3542
28.225	110.9972
28.25	111.9708
28.275	113.1234
28.3	114.1515
28.325	114.9544
28.35	115.6361
28.375	113.9677
28.4	113.789
28.425	110.9168
28.45	111.3423
28.475	108.9435
28.5	109.9992
28.525	106.9343
28.55	105.5359
28.575	102.2784
28.6	103.4333
28.625	104.8591
28.65	109.2653
28.675	113.2348
28.7	117.1715
28.725	117.404
28.75	116.1383
28.775	114.3799
28.8	114.9361
28.825	114.9883
28.85	115.0448
28.875	113.6004
28.9	111.5948
28.925	106.9207
28.95	102.6267
28.975	102.5544
29	108.2036
29.025	112.8408
29.05	115.6626
29.075	114.5888
29.1	112.4617
29.125	107.4035
29.15	104.0614
29.175	102.3684
29.2	102.5124
29.225	104.4177
29.25	109.0762
29.275	112.7798
29.3	116.1226
29.325	118.86
29.35	122.4445
29.375	121.0288
29.4	120.3865
29.425	119.0746
29.45	120.871
29.475	116.6112
29.5	113.13
29.525	110.3161
29.55	108.2797
29.575	105.2485
29.6	104.6116
29.625	105.629
29.65	106.6836
29.675	108.3351
29.7	111.5027
29.725	112.0749
29.75	110.184
29.775	106.9912
29.8	106.0442
29.825	101.7832
29.85	98.5988
29.875	96.5757
29.9	96.6138
29.925	95.8176
29.95	96.9955
29.975	98.0592
30	99.5841
30.025	101.4127
30.05	103.3784
30.075	105.8991
30.1	107.7593
30.125	110.0415
30.15	110.7784
30.175	112.9573
30.2	114.1489
30.225	116.7503
30.25	116.3585
30.275	114.7723
30.3	109.7717
30.325	103.9704
30.35	100.7772
30.375	100.6488
30.4	103.6323
30.425	104.648
30.45	108.4935
30.475	109.1822
30.5	111.6921
30.525	109.2354
30.55	109.6514
30.575	108.4704
